country,t,estimate_main,Gini_main,estimate_T,Gini_T,estimate_CES,Gini_CES,estimate_PTM,Gini_PTM,estimate_Poor,Gini_Poor,estimate_Ladder,Gini_Ladder,estimate_PPML,Gini_PPML,estimate_Consumption,Gini_Consumption
AFG,2007-2009,.92860001,43.34,.89109999,42.75,1.0315,44.84,.89969999,42.889999,.46039999,33.650002,.91909999,43.189999,.42089999,32.48,.1547,21.139999
AFG,2010-2012,.58569998,36.889999,.83450001,41.82,.64579999,38.23,.56339997,36.360001,.308,28.59,.81309998,41.459999,.54500002,35.91,.1812,22.709999
AFG,2013-2015,1.0338,44.869999,1.0426,44.990002,1.0944999,45.68,.61470002,37.549999,1.2395,47.450001,1.3135999,48.279999,.67269999,38.799999,.1557,21.209999
AFG,2016-2018,1.4127001,49.310001,1.2199,47.23,1.4995,50.150002,1.0251,44.75,1.5366,50.490002,1.8915,53.380001,.38240001,31.26,.42719999,32.68
AGO,1995-1997,1.1421,46.290001,2.0636001,54.57,1.2405,47.459999,1.4309,49.490002,.1795,22.610001,.55129999,36.060001,.32480001,29.23,1.405,49.23
AGO,1998-2000,1.3427,48.59,1.8332,52.950001,1.2986,48.110001,1.4935,50.09,.71920002,39.73,.70359999,39.419998,.4808,34.23,1.6418999,51.419998
AGO,2001-2003,.99019998,44.25,1.2702,47.799999,.93980002,43.509998,.95340002,43.720001,.82929999,41.740002,.71109998,39.57,.41249999,32.220001,1.7743,52.490002
AGO,2004-2006,1.3436,48.599998,1.2471,47.540001,1.1948,46.93,1.4793,49.950001,1.4311,49.490002,1.0509,45.099998,.58829999,36.950001,1.5027,50.18
AGO,2007-2009,1.3394001,48.549999,1.2118,47.130001,1.4079,49.259998,1.4432,49.610001,1.258,47.66,1.266,47.75,.60960001,37.43,1.4116,49.290001
AGO,2010-2012,1.4684,49.849998,1.3338,48.490002,1.6619,51.59,1.3784,48.959999,1.5562,50.669998,1.3579,48.75,.60119998,37.240002,1.3319,48.470001
AGO,2013-2015,1.4596,49.77,1.2582,47.669998,1.6021,51.07,1.5219001,50.349998,1.4798,49.959999,1.219,47.209999,.68089998,38.959999,1.3013999,48.139999
AGO,2016-2018,1.3832,49.009998,1.1747,46.689999,1.5019,50.169998,1.4647,49.82,1.9910001,54.080002,1.3361,48.52,.67869997,38.919998,1.2212,47.240002
ALB,1995-1997,.63440001,37.98,.69499999,39.25,.63690001,38.040001,.58200002,36.799999,.47920001,34.18,.67269999,38.799999,.40130001,31.870001,.45390001,33.470001
ALB,1998-2000,.49950001,34.73,.62059999,37.68,.51370001,35.110001,.50880003,34.98,.3996,31.82,.57200003,36.560001,.35260001,30.24,.37720001,31.09
ALB,2001-2003,.4208,32.48,.61189997,37.490002,.3971,31.74,.3978,31.76,.3019,28.35,.4998,34.740002,.4941,34.59,.4515,33.400002
ALB,2004-2006,.45249999,33.43,.58170003,36.790001,.43799999,33,.50099999,34.77,.38859999,31.459999,.46090001,33.669998,.58920002,36.970001,.41420001,32.279999
ALB,2007-2009,.29069999,27.91,.32499999,29.24,.3134,28.799999,.3425,29.879999,.37169999,30.9,.30610001,28.52,.4339,32.880001,.41949999,32.439999
